Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
12,100	0,57	0,28	-0,55
12,120	0,58	0,27	-0,42
12,140	0,58	0,26	-0,58
12,160	0,59	0,24	0,04
12,180	0,59	0,26	-0,39
12,200	0,60	0,23	-0,89
12,220	0,60	0,22	-0,65
12,240	0,61	0,20	0,72
12,260	0,61	0,25	1,37
12,280	0,62	0,26	-2,22
12,300	0,62	0,17	-2,84
12,320	0,62	0,14	-0,99
12,340	0,63	0,13	-0,61
12,360	0,63	0,12	-2,37
12,380	0,63	0,03	-1,26
12,400	0,63	0,07	2,52
12,420	0,63	0,13	-0,46
12,440	0,63	0,05	-2,82
12,460	0,64	0,02	-1,21
12,480	0,64	0,00	-0,83
12,500	0,64	-0,01	-1,06
12,520	0,63	-0,04	-2,52
12,540	0,63	-0,12	-2,11
12,560	0,63	-0,13	-0,02
12,580	0,63	-0,12	0,22
12,600	0,63	-0,12	0,29
12,620	0,62	-0,10	-0,60
12,640	0,62	-0,14	-1,21
12,660	0,62	-0,15	-0,85
12,680	0,62	-0,17	-0,99
12,700	0,61	-0,19	-0,74
12,720	0,61	-0,20	-0,89
12,740	0,60	-0,23	-0,59
12,760	0,60	-0,23	0,15
12,780	0,59	-0,22	-1,81
12,800	0,59	-0,30	-0,90
12,820	0,58	-0,26	2,68
12,840	0,58	-0,19	-1,29
12,860	0,57	-0,31	-3,01
12,880	0,57	-0,31	1,09
12,900	0,56	-0,27	0,94
12,920	0,56	-0,28	-0,12
12,940	0,55	-0,27	0,01
12,960	0,55	-0,28	-0,13
12,980	0,54	-0,28	0,22
13,000	0,53	-0,27	0,12
13,020	0,53	-0,27	-0,02
13,040	0,52	-0,27	0,32
13,060	0,52	-0,26	0,32
13,080	0,51	-0,25	0,32
13,100	0,51	-0,25	0,32
13,120	0,50	-0,24	0,42
13,140	0,50	-0,23	0,66
13,160	0,49	-0,22	0,44
13,180	0,49	-0,21	0,30
13,200	0,49	-0,20	0,63
13,220	0,48	-0,19	0,87
13,240	0,48	-0,17	0,76
13,260	0,47	-0,16	0,65
13,280	0,47	-0,14	0,63
13,300	0,47	-0,13	0,86
13,320	0,47	-0,11	0,88
13,340	0,46	-0,10	0,63
13,360	0,46	-0,08	0,86
13,380	0,46	-0,06	0,87
13,400	0,46	-0,05	0,75
13,420	0,46	-0,03	0,86
13,440	0,46	-0,01	0,85
13,460	0,46	0,00	1,07
13,480	0,46	0,03	1,10
13,500	0,46	0,05	0,64
13,520	0,46	0,05	0,63
13,540	0,46	0,07	0,86
13,560	0,46	0,09	0,86
13,580	0,47	0,11	0,87
13,600	0,47	0,12	0,76
13,620	0,47	0,14	0,64
13,640	0,47	0,15	0,64
13,660	0,48	0,16	0,75
13,680	0,48	0,18	0,75
13,700	0,48	0,19	0,75
13,720	0,49	0,21	0,77
13,740	0,49	0,22	0,44
13,760	0,50	0,23	0,21
13,780	0,50	0,23	0,21
13,800	0,51	0,24	0,31
